,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
32,prudhvi kashyap,@kashyap_prudhvi,2019-01-17T23:46:03.000Z,"I made $148 (40%) trading $DD, trailing the stock and trailing the market. Play the 
@business
 Trading Game: https://bloomberg.com/features/2015-stock-chart-trading-game/…","I made $148 (40%) trading $DD, trailing the stock and trailing the market. Play the 
@business
 Trading Game: https://bloomberg.com/features/2015-stock-chart-trading-game/…",,,,,[],https://twitter.com/kashyap_prudhvi/status/1086047026100490240
33,pau,@paubengero,2019-01-22T11:34:27.000Z,"In PSE, its the Property sector leading out on the ytd basis, followed by Holdings and Services... For property you have $STR, $DD, $RLC, $BEL, $DMW, for Holdings you have $LPZ, $JGS and $AEV, $AGI, for Services theres $PHA, $ABS, $PLC, $APC, $CEB","In PSE, its the Property sector leading out on the ytd basis, followed by Holdings and Services... For property you have $STR, $DD, $RLC, $BEL, $DMW, for Holdings you have $LPZ, $JGS and $AEV, $AGI, for Services theres $PHA, $ABS, $PLC, $APC, $CEB
1
7",,,1,7,[],https://twitter.com/paubengero/status/1087674851995746305
34,HiNewUlm,@UlmHi,2019-01-26T10:22:12.000Z,"Wells Fargo Co New $WFC Stock Value Declined While Mcdonald Capital Investors Has Cut Stake; Lau Associates Position in Dowdupont $DD Upped by $395,072  https://hinewulm.com/2019/01/26/wells-fargo-co-new-wfc-stock-value-declined-while-mcdonald-capital-investors-has-cut-stake-lau-associates-position-in-dowdupont-dd-upped-by-395072/…","Wells Fargo Co New $WFC Stock Value Declined While Mcdonald Capital Investors Has Cut Stake; Lau Associates Position in Dowdupont $DD Upped by $395,072  https://hinewulm.com/2019/01/26/wells-fargo-co-new-wfc-stock-value-declined-while-mcdonald-capital-investors-has-cut-stake-lau-associates-position-in-dowdupont-dd-upped-by-395072/…",,,,,[],https://twitter.com/UlmHi/status/1089106222970744834
35,arrgetlam,@arrgetlam,2019-02-01T03:02:30.000Z,Row row row your  boat   $DD,"Row row row your  boat   $DD
arrgetlam
@arrgetlam
 · 31 Jan 2019
Training with a beautiful sun rise this morning  #ManilaBay
0:09
359 views
2
8",🐉 😂 🌅,2,,8,"['https://pbs.twimg.com/profile_images/930055710334844930/YhoBB1YC_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1090755898723655680/pu/img/JmG8dKHAndU5j6b1.jpg']",https://twitter.com/arrgetlam/status/1091169892848431104
36,Charles Lim,@duexcharles,2019-02-01T02:28:31.000Z,$DD support held . nice pop!,"$DD support held . nice pop!
5",,,,5,[],https://twitter.com/duexcharles/status/1091161341778223104
37,Ardee Maq,@ardeemaq16,2019-02-01T02:35:39.000Z,"$DD - Nice Bounce from the support, Strong 1st hour, Vo... https://investagrams.com/Post/ardeemaq16/598669… via #investagrams","$DD - Nice Bounce from the support, Strong 1st hour, Vo... https://investagrams.com/Post/ardeemaq16/598669… via #investagrams",,,,,['https://pbs.twimg.com/media/DySXFtWXgAAiUrV?format=jpg&name=small'],https://twitter.com/ardeemaq16/status/1091163139696152576
38,Le Yuh,@ammaLEAr,2019-01-31T00:04:39.000Z,"Replying to 
@arrgetlam","Replying to 
@arrgetlam
$DD charing
2",,2,,,[],https://twitter.com/ammaLEAr/status/1090762750106624000
39,arrgetlam,@arrgetlam,2019-02-01T03:02:30.000Z,Row row row your  boat   $DD,"Row row row your  boat   $DD
arrgetlam
@arrgetlam
 · 31 Jan 2019
Training with a beautiful sun rise this morning  #ManilaBay
359 views
0:01 / 0:10
2
8",🐉 😂 🌅,2,,8,['https://pbs.twimg.com/profile_images/930055710334844930/YhoBB1YC_mini.jpg'],https://twitter.com/arrgetlam/status/1091169892848431104
40,Stock Market Picks,@StockWebTrading,2019-02-05T03:08:51.000Z,"$AXP $BA $CAT $CSCO $CVX $DD $DIS Long and short positions from the Dow Jones, up to 1800% since 2008. https://dowstocktips.com $SPY $DIA #trading #Stockstowatch #trade #Trader #system #strategy #picks #quotes #tips #picks","$AXP $BA $CAT $CSCO $CVX $DD $DIS Long and short positions from the Dow Jones, up to 1800% since 2008. https://dowstocktips.com $SPY $DIA #trading #Stockstowatch #trade #Trader #system #strategy #picks #quotes #tips #picks
4
4",,,4,4,['https://pbs.twimg.com/media/DynE_lRX4AYQ_Zu?format=png&name=small'],https://twitter.com/StockWebTrading/status/1092621043368378369
41,ℂЄ🅁🅝,@BlueFielder,2019-02-04T16:41:32.000Z,$DD    Back on Hot-Watch http://l.ist,"$DD    Back on Hot-Watch http://l.ist
1
1",🅰 Ⓜ ⭕,1,,1,[],https://twitter.com/BlueFielder/status/1092463176631926784
42,Pethuel,@PethuelP,2019-02-06T02:24:45.000Z,$DD classical reversal pattern attempt? Looking for RSI break.,"$DD classical reversal pattern attempt? Looking for RSI break.
3
1
25",,3,1,25,['https://pbs.twimg.com/media/DysEWTJV4AAltw2?format=jpg&name=small'],https://twitter.com/PethuelP/status/1092972331977195520
43,Stock Market Picks,@StockWebTrading,2019-02-08T13:53:41.000Z,"$AXP $BA $CAT $CSCO $CVX $DD $DIS Long and short positions from the Dow Jones, up to 1800% since 2008. https://dowstocktips.com $SPY $DIA #trading #Stockstowatch #trade #Trader #system #strategy #picks #quotes #tips #picks","$AXP $BA $CAT $CSCO $CVX $DD $DIS Long and short positions from the Dow Jones, up to 1800% since 2008. https://dowstocktips.com $SPY $DIA #trading #Stockstowatch #trade #Trader #system #strategy #picks #quotes #tips #picks
4
4",,,4,4,['https://pbs.twimg.com/media/Dy41ZYPWkAEKVz2?format=png&name=small'],https://twitter.com/StockWebTrading/status/1093870483777441792
44,Stock Hobbit,@stock_hobbit,2019-02-06T02:04:59.000Z,$DD go,"$DD go
1
4",,1,,4,[],https://twitter.com/stock_hobbit/status/1092967358979698688
45,Pizza Trader,@Pizza_Trader,2019-02-07T07:16:10.000Z,$DD pulling back after hitting 200ma resistance.,"$DD pulling back after hitting 200ma resistance.
2
5",,,2,5,[],https://twitter.com/Pizza_Trader/status/1093408060301660160
46,"apate, daughter of nyx",@Axolotl_Lover48,2019-02-07T23:32:45.000Z,I just sold a burnt hamburger to three weirdos who walked into my store. They payed me 70 damn $dd for it. Easily the best thing I've ever done,"I just sold a burnt hamburger to three weirdos who walked into my store. They payed me 70 damn $dd for it. Easily the best thing I've ever done
1",,,1,,[],https://twitter.com/Axolotl_Lover48/status/1093653823682416640
47,Newrain,@newrock5,2019-02-06T04:35:41.000Z,Sell your $X and buy your sugar $DD mga sur!,"Sell your $X and buy your sugar $DD mga sur!
facebook.com
Peter
Sell your $X and buy your sugar $DD mga sur!",😂 😂,,,,[],https://twitter.com/newrock5/status/1093005285399150592
48,Bindoy Carredo,@doybins,2019-02-06T11:20:18.000Z,"Replying to 
@PethuelP","Replying to 
@PethuelP
$DD favorite Nintendo Konami Game ;) 23 years old este 23 pesosezzzzzzz",,,,,[],https://twitter.com/doybins/status/1093107111460929536
49,BOOMIE Trader,@JohnYu915,2019-02-10T12:32:25.000Z,"Watchlist for the week Feb 10
$PX $ABA $EW $DD $HOUSE $GREEN $PNB $PHA $BLOOM $HLCM $CHP
$WLCON $IMI $PLC $ZHI","Watchlist for the week Feb 10
$PX $ABA $EW $DD $HOUSE $GREEN $PNB $PHA $BLOOM $HLCM $CHP
$WLCON $IMI $PLC $ZHI
2
4
52",,2,4,52,[],https://twitter.com/JohnYu915/status/1094574807952195584
50,rouge samson,@RougeSamson,2019-02-10T19:19:30.000Z,"WATCHLIST FOR FEB11-15
 $APC $CROWN $DD $ORE $RLT $WIN $WPI #Psei 
@philippinestock","WATCHLIST FOR FEB11-15
 $APC $CROWN $DD $ORE $RLT $WIN $WPI #Psei 
@philippinestock",,,,,[],https://twitter.com/RougeSamson/status/1094677256587395073
51,Maximum Pain,@themaxpain,2019-02-11T14:48:08.000Z,$DOW $GM $DD $MELI $CTRP $HAS $ALXN $COST Bearish MACD crossover,$DOW $GM $DD $MELI $CTRP $HAS $ALXN $COST Bearish MACD crossover,,,,,[],https://twitter.com/themaxpain/status/1094971351318843392
52,Juan Tamad,@TsupitaEquities,2019-02-10T02:52:24.000Z,"TRADING at KEY RESISTANCE LEVEL. We'll see some SHIFT on DIRECTION, going SIDEWAYS sa TAAS. NOT a BUY RECO for now. $DD #fringetrading #algotrading #PSE #Psei","TRADING at KEY RESISTANCE LEVEL. We'll see some SHIFT on DIRECTION, going SIDEWAYS sa TAAS. NOT a BUY RECO for now. $DD #fringetrading #algotrading #PSE #Psei",,,,,[],https://twitter.com/TsupitaEquities/status/1094428843115372544
53,rouge samson,@RougeSamson,2019-02-11T21:14:54.000Z,"WATCHLIST FOR FEB12-15
 $CROWN $CYBR $DD $ORE $MPI $RLT $WIN $WPI $TBGI  #Psei 
@philippinestock","WATCHLIST FOR FEB12-15
 $CROWN $CYBR $DD $ORE $MPI $RLT $WIN $WPI $TBGI  #Psei 
@philippinestock
1",,1,,,[],https://twitter.com/RougeSamson/status/1095068685088292864
54,Stock Market Picks,@StockWebTrading,2019-02-13T13:58:19.000Z,"$AXP $BA $CAT $CSCO $CVX $DD $DIS Long and short positions from the Dow Jones, up to 1800% since 2008. https://dowstocktips.com $SPY $DIA #trading #Stockstowatch #trade #Trader #system #strategy #picks #quotes #tips #picks","$AXP $BA $CAT $CSCO $CVX $DD $DIS Long and short positions from the Dow Jones, up to 1800% since 2008. https://dowstocktips.com $SPY $DIA #trading #Stockstowatch #trade #Trader #system #strategy #picks #quotes #tips #picks
4
4",,,4,4,['https://pbs.twimg.com/media/DzSmaFGX4AYVlLt?format=png&name=small'],https://twitter.com/StockWebTrading/status/1095683591030403077
55,arrgetlam,@arrgetlam,2019-02-13T02:06:09.000Z,"Im a simple guy, i see a $DD post, matic like&retweet #DDtard ","Im a simple guy, i see a $DD post, matic like&retweet #DDtard 
Ichi Moku
@iamichimoku
 · 13 Feb 2019
If $DD could break that 22.6 to 22.9 level, it may have marked the low at 22 and we could see some potentially good bounce.
1
1
11",🐉 🤓,1,1,11,['https://pbs.twimg.com/profile_images/1489570368423612417/OP8d4Rdq_mini.jpg'],https://twitter.com/arrgetlam/status/1095504366272794624
56,Nepenthe,@nepenthe888,2019-02-12T10:00:21.000Z,$DD it my birthday pa naman that time  #roadto100,"$DD it my birthday pa naman that time  #roadto100
Steve Burns
@SJosephBurns
 · 11 Feb 2019
1
1
3",😂,1,1,3,"['https://pbs.twimg.com/profile_images/520984348557078528/5yVF8dSQ_mini.jpeg', 'https://pbs.twimg.com/media/DzEd3LeUcAEzHvZ?format=jpg&name=small']",https://twitter.com/nepenthe888/status/1095261316409749507
57,BOOMIE Trader,@JohnYu915,2019-02-14T15:12:59.000Z,"watchlist for tom. lets end the week right. 
$JFC $FDC $PHA $BLOOM $MAXS  $MAC $EW $PNB $DD $HOUSE $ABA $PX","watchlist for tom. lets end the week right. 
$JFC $FDC $PHA $BLOOM $MAXS  $MAC $EW $PNB $DD $HOUSE $ABA $PX
1
2
25",,1,2,25,[],https://twitter.com/JohnYu915/status/1096064767054102528
58,Japser Gnober,@JasperRebong,2019-02-13T08:06:15.000Z,"$DD - If I was still trading like I did last year, I would have bought already. (Technically it looks good) 

However, its trading at 43x PE ($ALI in comparison mostly hovers at 30x). That number is an insurmountable block for me so I'll be avoiding this personally.","$DD - If I was still trading like I did last year, I would have bought already. (Technically it looks good) 

However, its trading at 43x PE ($ALI in comparison mostly hovers at 30x). That number is an insurmountable block for me so I'll be avoiding this personally.
2",,,,2,['https://pbs.twimg.com/media/DzRVwrTUcAAMDp3?format=jpg&name=small'],https://twitter.com/JasperRebong/status/1095594990091137024
59,Ichi Moku,@iamichimoku,2019-02-13T02:01:42.000Z,"If $DD could break that 22.6 to 22.9 level, it may have marked the low at 22 and we could see some potentially good bounce.","If $DD could break that 22.6 to 22.9 level, it may have marked the low at 22 and we could see some potentially good bounce.
1
10",,,1,10,[],https://twitter.com/iamichimoku/status/1095503249422106626
60,Japser Gnober,@JasperRebong,2019-02-13T08:10:31.000Z,"$AGI - in comparison to $DD is exhibiting the same behavior chart-wise, but more importantly, its only at 5x PE and 0.45 PB (Price is below book!)

That is still so cheap, and the technical's are good too - so given a choice I'll probably go for this instead.","$AGI - in comparison to $DD is exhibiting the same behavior chart-wise, but more importantly, its only at 5x PE and 0.45 PB (Price is below book!)

That is still so cheap, and the technical's are good too - so given a choice I'll probably go for this instead.
2",,,,2,['https://pbs.twimg.com/media/DzRWtnAV4AEKW7H?format=jpg&name=small'],https://twitter.com/JasperRebong/status/1095596064462143489
61,Cootz,@cooter696969,2019-02-14T21:32:30.000Z,"Replying to 
@barbaro1420
, 
@ParlayQueen
 and 
@TampaBayDownsFL","Replying to 
@barbaro1420
, 
@ParlayQueen
 and 
@TampaBayDownsFL
I won the $DD did I fix it for a mere $600? Eh, maybe
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/DzZX9FCVAAAvh7M.jpg'],https://twitter.com/cooter696969/status/1096160276712439808
62,Third Bridge Forum,@TB_BBG,2019-02-13T18:27:54.000Z,"Join our Interview on the #Probiotics Market $NESN $PG $BAYN $DSM $DD $BIOG
 Agenda:
 1.Competitive landscape/key players' positioning in the food-supplement segments
 2.Growth potential/opportunities
 3.2019 outlook, pinpointing possible headwinds
 http://bit.ly/2SFYV3Z","Join our Interview on the #Probiotics Market $NESN $PG $BAYN $DSM $DD $BIOG
 Agenda:
 1.Competitive landscape/key players' positioning in the food-supplement segments
 2.Growth potential/opportunities
 3.2019 outlook, pinpointing possible headwinds
 http://bit.ly/2SFYV3Z",,,,,[],https://twitter.com/TB_BBG/status/1095751433373302786
63,CSIMarket.com,@CSIMarket,2019-02-12T16:55:14.000Z,$DD #stock #investing #DupontEIDeNemoursandCo publishes on http://CSIMarket.com  In contrast to the third quarter Sales advanced  by 8.44 % from  $5.29 billions and  from $0.00 per share. http://bit.ly/2BwlcaD https://ift.tt/2R9gKDq,$DD #stock #investing #DupontEIDeNemoursandCo publishes on http://CSIMarket.com  In contrast to the third quarter Sales advanced  by 8.44 % from  $5.29 billions and  from $0.00 per share. http://bit.ly/2BwlcaD https://ift.tt/2R9gKDq,,,,,[],https://twitter.com/CSIMarket/status/1095365725450104832
64,arrgetlam,@arrgetlam,2019-02-19T03:09:59.000Z,Resistance turned support? Teach $X how its done $DD ,"Resistance turned support? Teach $X how its done $DD 
1
10",🐉,1,,10,['https://pbs.twimg.com/media/DzvLj8DVAAAn5dl?format=jpg&name=small'],https://twitter.com/arrgetlam/status/1097694760695812097
65,BOOMIE Trader,@JohnYu915,2019-02-18T00:37:37.000Z,"$ACR $FDC $MB $VLL $PHA $HLCM $DD 
refined watchlist for today","$ACR $FDC $MB $VLL $PHA $HLCM $DD 
refined watchlist for today
4
27",,,4,27,[],https://twitter.com/JohnYu915/status/1097294028553342976
66,jops,@jopolsantos,2019-02-19T05:48:55.000Z,going longgg $DD,going longgg $DD,🦇 🔊,,,,[],https://twitter.com/jopolsantos/status/1097734755796148225
