,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
808,Silicon Investor,@Si_Investor,2019-02-26T18:48:04.000Z,#Chevron $CVX 120.65 +0.9% The sell-side on Wall Steet is predicting Chevron Corp to grow at an accelerated rate over the next five years. Sell-side analysts are looking for the company to grow 16.74% over the next year and 40.49% over the next five years. http://dlvr.it/Qzl1Ys,#Chevron $CVX 120.65 +0.9% The sell-side on Wall Steet is predicting Chevron Corp to grow at an accelerated rate over the next five years. Sell-side analysts are looking for the company to grow 16.74% over the next year and 40.49% over the next five years. http://dlvr.it/Qzl1Ys,,,,,['https://pbs.twimg.com/media/D0WlZ_VV4AAgWxM?format=jpg&name=small'],https://twitter.com/Si_Investor/status/1100467552021430272
809,Maximum Pain,@themaxpain,2019-02-25T20:10:14.000Z,$BMY $C $CVX $F Bearish MACD crossover,"$BMY $C $CVX $F Bearish MACD crossover
1",,,,1,[],https://twitter.com/themaxpain/status/1100125841609101313
810,Maximum Pain,@themaxpain,2019-02-26T14:10:15.000Z,$CVX $MYL $WLTW $MDLZ $LBTYA $EBAY $WBA $BKNG $PAYX Bearish MACD crossover,$CVX $MYL $WLTW $MDLZ $LBTYA $EBAY $WBA $BKNG $PAYX Bearish MACD crossover,,,,,[],https://twitter.com/themaxpain/status/1100397634479681537
811,sun,@sunshineavenue8,2019-02-26T00:17:01.000Z,$BHP short ratio on 2019-01-31 is 5.85 http://sunshineavenue.com/stock/BHP/ $RDS.A 0.69 $VALE 1.31 $CLF 5.80 $CVX 2.62,$BHP short ratio on 2019-01-31 is 5.85 http://sunshineavenue.com/stock/BHP/ $RDS.A 0.69 $VALE 1.31 $CLF 5.80 $CVX 2.62,,,,,[],https://twitter.com/sunshineavenue8/status/1100187947880587264
812,sun,@sunshineavenue8,2019-02-25T23:51:03.000Z,$HFC short interest ratio is 3.69 on 2019-01-31 http://sunshineavenue.com/stock/HFC/ $CVX 2.62 $PBF 5.40 $PSX 1.82 $MPC 1.30,$HFC short interest ratio is 3.69 on 2019-01-31 http://sunshineavenue.com/stock/HFC/ $CVX 2.62 $PBF 5.40 $PSX 1.82 $MPC 1.30,,,,,[],https://twitter.com/sunshineavenue8/status/1100181410973995008
813,Market Statistics,@MarketStatisti1,2019-02-25T23:39:02.000Z,Should $tsla go private? $spy $dia $iwm $uso $gld $xle $xlf $xlk $xlu $xlv $xlb $xli $xlp $xly $gm $f $amzn $aapl $pypl $nflx $twtr $goog $fb $intc $dis $hd $wmt $jnj $unh $cat $ba $xom $cvx $jpm $bac $gs $ms $nvda $amd $sq $mat $amat $csco $ebay $ma $tpr $lb $uaa $baba,"Should $tsla go private? $spy $dia $iwm $uso $gld $xle $xlf $xlk $xlu $xlv $xlb $xli $xlp $xly $gm $f $amzn $aapl $pypl $nflx $twtr $goog $fb $intc $dis $hd $wmt $jnj $unh $cat $ba $xom $cvx $jpm $bac $gs $ms $nvda $amd $sq $mat $amat $csco $ebay $ma $tpr $lb $uaa $baba
Yes
60%
No
40%
10 votes
·
Final results",,,,,[],https://twitter.com/MarketStatisti1/status/1100178385152737280
814,PeterLekousesJr,@pjl001,2019-02-25T16:43:11.000Z,"Chevron's Gorgon LNG train 3 back online after unplanned outage - Reuters https://seekingalpha.com/news/3436514?source=ansh… $CVX, $XOM, $RDS.A, $RDS.B Great Dividend Stock BUY XOM and CVX !","Chevron's Gorgon LNG train 3 back online after unplanned outage - Reuters https://seekingalpha.com/news/3436514?source=ansh… $CVX, $XOM, $RDS.A, $RDS.B Great Dividend Stock BUY XOM and CVX !
seekingalpha.com
Chevron's Gorgon LNG train 3 back online after unplanned outage - Reuters (NYSE:CVX)
Chevron's (NYSE:CVX) Gorgon liquefied natural gas export plant in Australia brought its train 3 back online over the weekend after an unplanned outage since mid-January to address a...",,,,,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/pjl001/status/1100073735325995015
815,sun,@sunshineavenue8,2019-02-26T17:34:02.000Z,short ratio interest of $EPE is 11.19 at 2019-01-31 http://sunshineavenue.com/stock/EPE/ $KMI 2.89 $CVX 2.62 $MTDR 7.79 $EOG 3.68,short ratio interest of $EPE is 11.19 at 2019-01-31 http://sunshineavenue.com/stock/EPE/ $KMI 2.89 $CVX 2.62 $MTDR 7.79 $EOG 3.68,,,,,[],https://twitter.com/sunshineavenue8/status/1100448921405607938
816,Infinitus Capital,@InfinitusCap,2019-02-26T21:58:24.000Z,"Proud to say, we have most accurate #OIL #trading #s on $TWTR

http://infinituscapital.ca/quantitative-service…

#DayTrading  #CL_F #CL $CL_F $CL $CME #OPEC $RIG $USO #fintwit #CNBC $SPY $ES_F $CNQ $SU $ENB $XOM $BP $VLO $MRO #WTI $COP $CVE $CVE.TO $CVX $APC $OXY $IMO $XOP $SPX","Proud to say, we have most accurate #OIL #trading #s on $TWTR

http://infinituscapital.ca/quantitative-service…

#DayTrading  #CL_F #CL $CL_F $CL $CME #OPEC $RIG $USO #fintwit #CNBC $SPY $ES_F $CNQ $SU $ENB $XOM $BP $VLO $MRO #WTI $COP $CVE $CVE.TO $CVX $APC $OXY $IMO $XOP $SPX
Infinitus Capital
@InfinitusCap
 · 27 Feb 2019
1/  Day low $55.22 @ 9:09amEST.   Our 8:45am email forecast $55.21

https://twitter.com/InfinitusCap/status/1100386883689840640…

#DayTrading #OIL #FUTURES #CL_F #CL $CL_F $CL $CME #OPEC $RIG $USO #fintwit #CNBC $SPY $ES_F $CNQ $SU $ENB $XOM $BP #Trading $VLO $MRO #WTI $COP $CVE $CVE.TO $CVX $APC $OXY $IMO $XOP $SPX
1
1
1",,1,1,1,"['https://pbs.twimg.com/profile_images/492864664707936257/ErEYiGi9_mini.png', 'https://pbs.twimg.com/media/D0W60MmUwAAGws-?format=png&name=small', 'https://pbs.twimg.com/media/D0W61GeUwAAATzj?format=jpg&name=small']",https://twitter.com/InfinitusCap/status/1100515450297868288
817,AlienOvichO,@AlienOvichO,2019-02-25T21:35:06.000Z,#Chevron $CVX Corrected 50% of decline from 2018 and still looking for short term target at $123 - $127 area  #elliottwave,#Chevron $CVX Corrected 50% of decline from 2018 and still looking for short term target at $123 - $127 area  #elliottwave,,,,,[],https://twitter.com/AlienOvichO/status/1100147197440602117
