,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
3542,The Casual Smart,@The_CasualSmart,2018-08-19T16:45:08.000Z,"Omni Partners Llp Has Lowered Its Stake in Nxp Semiconductors N V $NXPI as Shares Declined; As Boeing Co $BA Stock Declined, Bank Of The Ozarks Raised Its Position https://cardinalweekly.com/omni-partners-llp-has-lowered-its-stake-in-nxp-semiconductors-n-v-nxpi-as-shares-declined-as-boeing-co-ba-stock-declined-bank-of-the-ozarks-raised-its-position/…","Omni Partners Llp Has Lowered Its Stake in Nxp Semiconductors N V $NXPI as Shares Declined; As Boeing Co $BA Stock Declined, Bank Of The Ozarks Raised Its Position https://cardinalweekly.com/omni-partners-llp-has-lowered-its-stake-in-nxp-semiconductors-n-v-nxpi-as-shares-declined-as-boeing-co-ba-stock-declined-bank-of-the-ozarks-raised-its-position/…",,,,,[],https://twitter.com/The_CasualSmart/status/1031220532421775363
3543,Eric Davis,@ericdavis221,2018-08-19T20:43:02.000Z,"Aug 19 Sunday, Bullish target for $BA is $348.00","Aug 19 Sunday, Bullish target for $BA is $348.00
1",,1,,,[],https://twitter.com/ericdavis221/status/1031280402600787969
3544,ResearchPool,@ResearchPool,2018-08-17T09:25:12.000Z,"$BA #Boeing Co. BA - Embedded Expectations Analysis - 2018 08 17: The Boeing Company (BA:USA) currently trades near historical averages relative to UAFRS-based (Uniform) Earnings, with a 20.6x Uniform P/E. At these levels, the market has bullish… http://dlvr.it/Qg9sBq","$BA #Boeing Co. BA - Embedded Expectations Analysis - 2018 08 17: The Boeing Company (BA:USA) currently trades near historical averages relative to UAFRS-based (Uniform) Earnings, with a 20.6x Uniform P/E. At these levels, the market has bullish… http://dlvr.it/Qg9sBq",,,,,['https://pbs.twimg.com/media/DkypvHRU4AA28qI?format=jpg&name=small'],https://twitter.com/ResearchPool/status/1030385043405922310
3545,ChartMill,@ChartMill,2018-08-18T23:16:03.000Z,$BA has an average technical rating and the quality of the presented setup is also not ideal at the moment. https://chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/BA?key=cf8ad0fc-6c43-4250-8f16-7a84dbb5df14…,$BA has an average technical rating and the quality of the presented setup is also not ideal at the moment. https://chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/BA?key=cf8ad0fc-6c43-4250-8f16-7a84dbb5df14…,,,,,['https://pbs.twimg.com/media/Dk6xffJX4AEgrw3?format=jpg&name=small'],https://twitter.com/ChartMill/status/1030956521293848577
3546,DefenseNewsGuru,@DefenseNewsGuru,2018-08-18T00:00:48.000Z,"DoD awards $583M in defense contracts to close out the week, and #Boeing is the big winner.
$BA will supply $217M in F-18 spare parts to the Navy; and collect $152.5M to integrate Infrared Search and Track System (IRST) Block II, Phase II into Navy F-18s.
https://defense.gov/News/Contracts/Contract-View/Article/1605935/…","DoD awards $583M in defense contracts to close out the week, and #Boeing is the big winner.
$BA will supply $217M in F-18 spare parts to the Navy; and collect $152.5M to integrate Infrared Search and Track System (IRST) Block II, Phase II into Navy F-18s.
https://defense.gov/News/Contracts/Contract-View/Article/1605935/…",,,,,[],https://twitter.com/DefenseNewsGuru/status/1030605396308836353
3547,Top Stock Alerts,@TopStockAlerts1,2018-08-17T23:41:20.000Z,"Unusual Options:

$NFLX $GOOGL $AAPL $WY $MEET $USB $ADSK $BIDU $KR $ADM $DLR $PPL $NFG $URBN $TSLA $QCOM $INTC $DBX $SN $BA $PAGP","Unusual Options:

$NFLX $GOOGL $AAPL $WY $MEET $USB $ADSK $BIDU $KR $ADM $DLR $PPL $NFG $URBN $TSLA $QCOM $INTC $DBX $SN $BA $PAGP
1",,,1,,[],https://twitter.com/TopStockAlerts1/status/1030600496736870400
3548,FlowerPower,@Flower_Power_67,2018-08-18T21:03:16.000Z,"1 in 4 planes $BA builds goes to China 
b/c China wants US planes.
So China will NOT impose tariffs on $BA.
China will NOT change to Airbus,
b/c Airbus makes the wrong airplane.
$BA a makes the right airplane.
China needs $BA.  
— Jim Cramer, Squawk on the Street 8/16/18","1 in 4 planes $BA builds goes to China 
b/c China wants US planes.
So China will NOT impose tariffs on $BA.
China will NOT change to Airbus,
b/c Airbus makes the wrong airplane.
$BA a makes the right airplane.
China needs $BA.  
— Jim Cramer, Squawk on the Street 8/16/18",✈,,,,[],https://twitter.com/Flower_Power_67/status/1030923103793238016
3549,TD Ameritrade Network,@TDANetwork,2018-08-17T17:37:18.000Z,"Is now the right time for #investors to get into defense #stocks? 
@MorningstarInc
's Chris Higgins thinks so. 
@Nasdaq
's 
@JillMalandrino
 sat down with Higgins on #MorningTradeLive today to find out why.

 $BA $GD $RTN $LMT $LLL $NOC","Is now the right time for #investors to get into defense #stocks? 
@MorningstarInc
's Chris Higgins thinks so. 
@Nasdaq
's 
@JillMalandrino
 sat down with Higgins on #MorningTradeLive today to find out why.

 $BA $GD $RTN $LMT $LLL $NOC
1
1",📊,1,1,,['https://pbs.twimg.com/media/Dk0NZ11UYAE4ft4.jpg'],https://twitter.com/TDANetwork/status/1030508885151428609
3550,Millionaire Mob,@millionairemob2,2018-08-17T15:20:54.000Z,"Replying to 
@monsieurdiv","Replying to 
@monsieurdiv
Recently sold $BA for +150% this might be a future OCD
1
1",💰,1,,1,[],https://twitter.com/millionairemob2/status/1030474557835104258
3551,Charlie Corke,@charliecorke,2018-08-18T03:53:59.000Z,Honestly with so much on trade talks doesn't playing $BA and $BABA just feel like an ER in itself? Like if talks fail again this could get ugly no?,Honestly with so much on trade talks doesn't playing $BA and $BABA just feel like an ER in itself? Like if talks fail again this could get ugly no?,,,,,[],https://twitter.com/charliecorke/status/1030664079252303875
